,palavra,doc|ocorrencia
40,dia,"[(1, 3), (2, 1), (4, 2), (6, 2), (9, 1), (11, 2), (12, 3), (13, 1), (15, 1), (16, 2), (19, 5), (20, 1), (22, 2), (26, 3), (30, 3), (32, 1), (38, 1), (39, 1), (40, 1), (42, 1), (53, 1), (54, 1), (56, 2), (57, 1), (59, 5), (61, 1), (63, 2), (64, 2), (65, 5), (69, 1), (70, 1), (73, 1), (76, 1), (77, 1), (78, 1), (87, 1), (90, 1), (91, 4), (92, 2), (94, 12), (95, 1), (98, 1), (99, 1), (102, 1), (105, 1), (106, 1), (107, 2), (108, 1), (109, 3), (111, 1), (112, 1), (118, 1), (119, 3), (121, 1), (126, 1), (133, 1), (136, 1), (138, 1), (141, 2), (142, 1), (151, 4), (154, 2), (157, 3), (160, 1), (165, 1), (166, 4), (169, 1), (172, 4), (174, 1), (176, 1), (177, 1), (181, 1), (184, 1), (185, 1), (189, 1), (191, 1), (192, 1), (195, 6), (196, 2), (197, 3), (204, 1), (207, 3), (208, 1), (213, 1), (214, 2), (215, 4), (221, 2), (223, 1), (224, 2), (226, 5), (229, 2), (233, 1), (235, 2), (238, 4), (241, 1), (244, 3), (249, 4)]"
41,rememorar,"[(1, 1), (2, 1)]"
42,texto,"[(1, 3), (12, 1), (13, 10), (14, 1), (21, 1), (22, 1), (37, 1), (63, 1), (75, 3), (82, 2), (90, 1), (91, 5), (95, 1), (100, 1), (108, 2), (111, 2), (123, 1), (127, 1), (131, 1), (145, 1), (160, 1), (172, 1), (185, 5), (193, 1), (210, 1), (219, 1), (223, 1)]"
43,divulgado,"[(1, 1), (21, 1), (114, 1), (115, 1), (127, 1), (226, 1), (229, 1), (238, 1), (246, 1)]"
44,ministério,"[(1, 2), (6, 1), (14, 1), (19, 2), (26, 2), (37, 1), (39, 2), (42, 1), (61, 1), (65, 2), (75, 1), (76, 2), (84, 1), (89, 1), (104, 1), (115, 7), (124, 7), (151, 3), (160, 2), (162, 2), (166, 3), (169, 1), (171, 2), (173, 1), (175, 1), (202, 2), (203, 4), (205, 2), (207, 1), (208, 1), (209, 2), (213, 1), (214, 1), (215, 2), (217, 2), (219, 2), (220, 3), (221, 9), (223, 3), (226, 1), (233, 3), (241, 1), (246, 1)]"
45,defesa,"[(1, 2), (2, 1), (21, 1), (25, 1), (26, 2), (38, 2), (42, 2), (45, 1), (51, 2), (55, 1), (56, 1), (62, 1), (63, 4), (65, 1), (67, 1), (74, 2), (81, 1), (82, 1), (92, 1), (93, 1), (95, 2), (99, 2), (100, 2), (101, 2), (104, 2), (111, 1), (115, 3), (116, 1), (120, 1), (121, 1), (143, 1), (163, 1), (166, 1), (172, 2), (173, 1), (202, 1), (208, 2), (219, 1), (221, 2), (223, 1), (225, 1), (226, 1), (227, 1), (238, 1)]"
46,alusiva,"[(1, 1)]"
47,lida,"[(1, 1), (13, 1), (60, 1), (114, 1)]"
48,alguns,"[(1, 1), (3, 1), (5, 3), (7, 1), (11, 1), (16, 2), (18, 1), (21, 1), (24, 1), (27, 1), (28, 1), (29, 3), (36, 1), (37, 1), (40, 2), (41, 1), (44, 1), (45, 1), (55, 1), (61, 3), (63, 2), (65, 4), (69, 3), (70, 1), (73, 1), (76, 1), (84, 3), (89, 1), (90, 1), (94, 2), (102, 3), (103, 1), (104, 1), (117, 1), (121, 1), (123, 1), (124, 2), (126, 1), (127, 1), (129, 1), (132, 1), (135, 3), (137, 1), (138, 1), (139, 1), (140, 3), (144, 1), (153, 1), (156, 1), (157, 1), (162, 2), (164, 3), (165, 2), (166, 2), (167, 1), (176, 1), (177, 1), (180, 1), (181, 1), (182, 1), (185, 1), (186, 1), (188, 1), (189, 1), (194, 1), (196, 1), (198, 2), (201, 1), (203, 1), (204, 1), (207, 1), (209, 1), (210, 1), (211, 1), (221, 1), (222, 1), (223, 1), (224, 1), (225, 3), (230, 1), (235, 1), (236, 1), (238, 1), (239, 3), (242, 1), (243, 1), (244, 1)]"
49,quartéis,"[(1, 1), (6, 1), (7, 1), (25, 1), (65, 1), (115, 1), (150, 1), (165, 1), (169, 1), (172, 4), (208, 1), (218, 1), (229, 1), (233, 2)]"
50,compatível,"[(1, 1)]"
